,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
139,5.0,100.0,20.0,30.0,60.0,geometric,0.99,43.42181331605682
140,5.0,10.0,20.0,30.0,60.0,geometric,0.99,45.24339269943596
141,5.0,50.0,20.0,30.0,60.0,geometric,0.99,43.42181331605682
142,5.0,100.0,20.0,30.0,60.0,geometric,0.99,27.83819691772693
143,5.0,10.0,20.0,30.0,60.0,geometric,0.99,36.79202420522708
144,5.0,50.0,20.0,30.0,60.0,geometric,0.99,27.83819691772693
145,5.0,100.0,50.0,30.0,60.0,geometric,0.99,13.781299063580413
146,5.0,10.0,50.0,30.0,60.0,geometric,0.99,13.781299063580413
147,5.0,50.0,50.0,30.0,60.0,geometric,0.99,13.781299063580413
148,5.0,100.0,50.0,30.0,60.0,geometric,0.99,23.210651166710786
149,5.0,10.0,50.0,30.0,60.0,geometric,0.99,24.292162693652536
150,5.0,50.0,50.0,30.0,60.0,geometric,0.99,24.292162693652536
151,5.0,100.0,50.0,30.0,60.0,geometric,0.99,21.056785749239104
152,5.0,10.0,50.0,30.0,60.0,geometric,0.99,37.219754100707114
153,5.0,50.0,50.0,30.0,60.0,geometric,0.99,25.427032670525715
154,5.0,100.0,100.0,30.0,60.0,geometric,0.99,18.87585447164509
155,5.0,10.0,100.0,30.0,60.0,geometric,0.99,37.795347686857454
156,5.0,50.0,100.0,30.0,60.0,geometric,0.99,18.87585447164509
157,5.0,100.0,100.0,30.0,60.0,geometric,0.99,22.993885455628323
158,5.0,10.0,100.0,30.0,60.0,geometric,0.99,29.62131207223301
159,5.0,50.0,100.0,30.0,60.0,geometric,0.99,22.993885455628323
160,5.0,100.0,100.0,30.0,60.0,geometric,0.99,15.884312479096167
161,5.0,10.0,100.0,30.0,60.0,geometric,0.99,15.884312479096167
162,5.0,50.0,100.0,30.0,60.0,geometric,0.99,15.884312479096167
163,5.0,100.0,20.0,30.0,60.0,exponential,0.99,27.717819364650534
164,5.0,10.0,20.0,30.0,60.0,exponential,0.99,43.556653618831625
165,5.0,50.0,20.0,30.0,60.0,exponential,0.99,27.717819364650534
166,5.0,100.0,20.0,30.0,60.0,exponential,0.99,26.658609048146296
167,5.0,10.0,20.0,30.0,60.0,exponential,0.99,26.658609048146296
168,5.0,50.0,20.0,30.0,60.0,exponential,0.99,26.658609048146296
169,5.0,100.0,20.0,30.0,60.0,exponential,0.99,27.02256504179104
170,5.0,10.0,20.0,30.0,60.0,exponential,0.99,27.68960177360311
171,5.0,50.0,20.0,30.0,60.0,exponential,0.99,27.02256504179104
